acc_user,cod_trans_type,txt_trans_type,txt_trans_type_sub,tye_flow,ico_trans
dbuser,vmgPVwRO,餐饮,,expend,food
dbuser,bsj8ErSR,交通,,expend,traffic
dbuser,onauXDAX,娱乐,,expend,entertainment
dbuser,bBhMOSxl,日常,,expend,daily
dbuser,3B68sIbA,人情,,expend,donate
dbuser,WtAPhhCU,通讯,,expend,phone
dbuser,fijqNLS6,文教,,expend,book
dbuser,05iLFTS5,住房,,expend,house
dbuser,XD44ChZM,购物,,expend,shopping
dbuser,8QVeQ1kv,工作,,expend,business
dbuser,Z4ZN7aOX,烟酒,,expend,smoke_wine
dbuser,USIdRHdD,医疗,,expend,medicine
dbuser,DMPJb231,汽车,,expend,car
dbuser,m8qJJf8z,利息,,expend,intrest
dbuser,l3nfc0P3,育儿,,expend,kid
dbuser,bs1Rf9O7,其他,,expend,other
dbuser,yqkDZNq7,退款,,income,refund
dbuser,cBRgr41o,薪资,,income,bonus
dbuser,0MIA45aa,利息,,income,intrest
dbuser,xSTyQpeH,报销,,income,bonus
dbuser,O4s4uj1L,其他,,income,other
dbuser,0PpB3SXE,转账,,transfer,transfer
dbuser,VhUHlgxj,其他,,transfer,other
dbuser,I9SPpzmR,还卡,,transfer,credit
dbuser,uMm0HlS6,借出,,transfer,out
dbuser,kz0e1OWu,借入,,transfer,in
dbuser,2mqK3Wwr,收债,,transfer,collect_debts
dbuser,hNoN0rmS,投资,,transfer,invest
dbuser,n2jgwgbd,还债,,transfer,refund
dbuser,LrPEBIep,取现,,transfer,cash
dbuser,VhUHlgxj,其他,,transfer,other